name,level,school,casting_time,range,components,material_components,duration,concentration,ritual,description,higher_levels,source
Fire Bolt,0,Evocation,1 action,120 feet,V S,,Instantaneous,false,false,"You hurl a mote of fire at a creature or object within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 fire damage. A flammable object hit by this spell ignites if it isn't being worn or carried.","This spell's damage increases by 1d10 when you reach 5th level (2d10), 11th level (3d10), and 17th level (4d10).",OFFICIAL
Friends,0,Enchantment,1 action,Self,S M,a small amount of makeup applied to the face,1 minute,true,false,"For the duration, you have advantage on all Charisma checks directed at one creature of your choice that isn't hostile toward you. When the spell ends, the creature realizes that you used magic to influence its mood and becomes hostile toward you.",,OFFICIAL
Frostbite,0,Evocation,1 action,60 feet,V S,,Instantaneous,false,false,"You cause numbing frost to form on one creature that you can see within range. The target must make a Constitution saving throw. On a failed save, the target takes 1d6 cold damage, and it has disadvantage on the next weapon attack roll it makes before the end of its next turn.","The spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",OFFICIAL
Green-Flame Blade,0,Evocation,1 action,Self (5-foot radius),S M,a melee weapon worth at least 1 sp,Instantaneous,false,false,"You brandish the weapon used in the spell's casting and make a melee attack with it against one creature within 5 feet of you. On a hit, the target suffers the weapon attack's normal effects, and you can cause green fire to leap from the target to a different creature of your choice that you can see within 5 feet of it. The second creature takes fire damage equal to your spellcasting ability modifier.","At 5th level, the melee attack deals an extra 1d8 fire damage to the target on a hit, and the fire damage to the second creature increases to 1d8 + your spellcasting ability modifier. Both damage rolls increase by 1d8 at 11th level and 17th level.",OFFICIAL
Guidance,0,Divination,1 action,Touch,V S,,1 minute,true,false,"You touch one willing creature. Once before the spell ends, the target can roll a d4 and add the number rolled to one ability check of its choice. It can roll the die before or after making the ability check. The spell then ends.",,OFFICIAL
Gust,0,Transmutation,1 action,30 feet,V S,,Instantaneous,false,false,"You seize the air and compel it to create one of the following effects at a point you can see within range: One Medium or smaller creature that you choose must succeed on a Strength saving throw or be pushed up to 5 feet away from you. You create a small blast of air capable of moving one object that is neither held nor carried and that weighs no more than 5 pounds. You create a harmless sensory effect using air.",,OFFICIAL
Infestation,0,Conjuration,1 action,30 feet,V S M,a living flea,Instantaneous,false,false,"You cause a cloud of mites, fleas, and other parasites to appear momentarily on one creature you can see within range. The target must succeed on a Constitution saving throw, or it takes 1d6 poison damage and moves 5 feet in a random direction if it can move and its speed is at least 5 feet.","This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",OFFICIAL
Light,0,Evocation,1 action,Touch,V M,a firefly or phosphorescent moss,1 hour,false,false,"You touch one object that is no larger than 10 feet in any dimension. Until the spell ends, the object sheds bright light in a 20-foot radius and dim light for an additional 20 feet. The light can be colored as you like. Completely covering the object with something opaque blocks the light. The spell ends if you cast it again or dismiss it as an action.",,OFFICIAL
Lightning Lure,0,Evocation,1 action,Self (15-foot radius),V,,Instantaneous,false,false,"You create a lash of lightning energy that strikes at one creature of your choice that you can see within 15 feet of you. The target must succeed on a Strength saving throw or be pulled up to 10 feet in a straight line toward you and then take 1d8 lightning damage if it is within 5 feet of you.","This spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).",OFFICIAL
Mage Hand,0,Conjuration,1 action,30 feet,V S,,1 minute,false,false,"A spectral, floating hand appears at a point you choose within range. The hand lasts for the duration or until you dismiss it as an action. The hand vanishes if it is ever more than 30 feet away from you or if you cast this spell again. You can use your action to control the hand.",,OFFICIAL
Magic Stone,0,Transmutation,1 bonus action,Touch,V S,,1 minute,false,false,"You touch one to three pebbles and imbue them with magic. You or someone else can make a ranged spell attack with one of the pebbles by throwing it or hurling it with a sling. If thrown, a pebble has a range of 60 feet. On a hit, the target takes bludgeoning damage equal to 1d6 + your spellcasting ability modifier. Whether the attack hits or misses, the spell then ends on the stone.",,OFFICIAL
Mending,0,Transmutation,1 minute,Touch,V S M,two lodestones,Instantaneous,false,false,"This spell repairs a single break or tear in an object you touch, such as broken chain link, two halves of a broken key, a torn cloak, or a leaking wineskin. As long as the break or tear is no larger than 1 foot in any dimension, you mend it, leaving no trace of the former damage.",,OFFICIAL
Message,0,Transmutation,1 action,120 feet,V S M,a short piece of copper wire,1 round,false,false,"You point your finger toward a creature within range and whisper a message. The target (and only the target) hears the message and can reply in a whisper that only you can hear. You can cast this spell through solid objects if you are familiar with the target and know it is beyond the barrier.",,OFFICIAL
Mind Sliver,0,Enchantment,1 action,60 feet,V,,1 round,false,false,"You drive a disorienting spike of psychic energy into the mind of one creature you can see within range. The target must succeed on an Intelligence saving throw or take 1d6 psychic damage and subtract 1d4 from the next saving throw it makes before the end of your next turn.","This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",OFFICIAL
Minor Illusion,0,Illusion,1 action,30 feet,S M,a bit of fleece,1 minute,false,false,"You create a sound or an image of an object within range that lasts for the duration. The illusion also ends if you dismiss it as an action or cast this spell again. If you create a sound, its volume can range from a whisper to a scream. If you create an image of an object, it must be no larger than a 5-foot cube.",,OFFICIAL
Mold Earth,0,Transmutation,1 action,30 feet,S,,Instantaneous or 1 hour,false,false,"You choose a portion of dirt or stone that you can see within range and that fits within a 5-foot cube. You manipulate it in one of the following ways: You instantaneously excavate it, move it along the ground, and deposit it up to 5 feet away. You cause shapes, colors, or both to appear on the dirt or stone. You cause the dirt or stone to become difficult terrain or normal terrain.",,OFFICIAL
Poison Spray,0,Conjuration,1 action,10 feet,V S,,Instantaneous,false,false,"You extend your hand toward a creature you can see within range and project a puff of noxious gas from your palm. The creature must succeed on a Constitution saving throw or take 1d12 poison damage.","This spell's damage increases by 1d12 when you reach 5th level (2d12), 11th level (3d12), and 17th level (4d12).",OFFICIAL
Prestidigitation,0,Transmutation,1 action,10 feet,V S,,1 hour,false,false,"This spell is a minor magical trick that novice spellcasters use for practice. You create one of the following magical effects within range: You create an instantaneous, harmless sensory effect. You instantaneously light or snuff out a candle, torch, or small campfire. You instantaneously clean or soil an object no larger than 1 cubic foot. You chill, warm, or flavor up to 1 cubic foot of nonliving material for 1 hour. You make a color, small mark, or symbol appear on an object or surface for 1 hour. You create a nonmagical trinket or illusory image that can fit in your hand.",,OFFICIAL
Primal Savagery,0,Transmutation,1 action,Self,S,,Instantaneous,false,false,"You channel primal magic to cause your teeth or fingernails to sharpen, ready to deliver a corrosive attack. Make a melee spell attack against one creature within 5 feet of you. On a hit, the target takes 1d10 acid damage. After you make the attack, your teeth or fingernails return to normal.","The spell's damage increases by 1d10 when you reach 5th level (2d10), 11th level (3d10), and 17th level (4d10).",OFFICIAL
Produce Flame,0,Conjuration,1 action,Self,V S,,10 minutes,false,false,"A flickering flame appears in your hand. The flame remains there for the duration and harms neither you nor your equipment. The flame sheds bright light in a 10-foot radius and dim light for an additional 10 feet. The spell ends if you dismiss it as an action or if you cast it again. You can also attack with the flame.","This spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).",OFFICIAL
Ray of Frost,0,Evocation,1 action,60 feet,V S,,Instantaneous,false,false,"A frigid beam of blue-white light streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, it takes 1d8 cold damage, and its speed is reduced by 10 feet until the start of your next turn.","The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).",OFFICIAL
Resistance,0,Abjuration,1 action,Touch,V S M,a miniature cloak,1 minute,true,false,"You touch one willing creature. Once before the spell ends, the target can roll a d4 and add the number rolled to one saving throw of its choice. It can roll the die before or after making the saving throw. The spell then ends.",,OFFICIAL
Sacred Flame,0,Evocation,1 action,60 feet,V S,,Instantaneous,false,false,"Flame-like radiance descends on a creature that you can see within range. The target must succeed on a Dexterity saving throw or take 1d8 radiant damage. The target gains no benefit from cover for this saving throw.","The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).",OFFICIAL
Sapping Sting,0,Necromancy,1 action,30 feet,V S,,Instantaneous,false,false,"You sap the vitality of one creature you can see in range. The target must succeed on a Constitution saving throw or take 1d4 necrotic damage and fall prone.","This spell's damage increases by 1d4 when you reach 5th level (2d4), 11th level (3d4), and 17th level (4d4).",OFFICIAL
Shape Water,0,Transmutation,1 action,30 feet,S,,Instantaneous or 1 hour,false,false,"You choose an area of water that you can see within range and that fits within a 5-foot cube. You manipulate it in one of the following ways: You instantaneously move or otherwise change the flow of the water. You cause the water to form into simple shapes. You change the water's color or opacity. You freeze the water for up to 1 hour.",,OFFICIAL
Shillelagh,0,Transmutation,1 bonus action,Touch,V S M,mistletoe a shamrock leaf and a club or quarterstaff,1 minute,false,false,"The wood of a club or quarterstaff you are holding is imbued with nature's power. For the duration, you can use your spellcasting ability instead of Strength for the attack and damage rolls of melee attacks using that weapon, and the weapon's damage die becomes a d8. The weapon also becomes magical, if it isn't already. The spell ends if you cast it again or if you let go of the weapon.",,OFFICIAL
Shocking Grasp,0,Evocation,1 action,Touch,V S,,Instantaneous,false,false,"Lightning springs from your hand to deliver a shock to a creature you try to touch. Make a melee spell attack against the target. You have advantage on the attack roll if the target is wearing armor made of metal. On a hit, the target takes 1d8 lightning damage, and it can't take reactions until the start of its next turn.","The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).",OFFICIAL
Spare the Dying,0,Necromancy,1 action,Touch,V S,,Instantaneous,false,false,"You touch a living creature that has 0 hit points. The creature becomes stable. This spell has no effect on undead or constructs.",,OFFICIAL
Sword Burst,0,Conjuration,1 action,Self (5-foot radius),V,,Instantaneous,false,false,"You create a momentary circle of spectral blades that sweep around you. All other creatures within 5 feet of you must succeed on a Dexterity saving throw or take 1d6 force damage.","This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",OFFICIAL
Thaumaturgy,0,Transmutation,1 action,30 feet,V,,1 minute,false,false,"You manifest a minor wonder, a sign of supernatural power, within range. You create one of the following magical effects within range: Your voice booms up to three times as loud as normal for 1 minute. You cause flames to flicker, brighten, dim, or change color for 1 minute. You cause harmless tremors in the ground for 1 minute. You create an instantaneous sound. You instantaneously cause an unlocked door or window to fly open or slam shut. You alter the appearance of your eyes for 1 minute.",,OFFICIAL
Thorn Whip,0,Transmutation,1 action,30 feet,V S M,the stem of a plant with thorns,Instantaneous,false,false,"You create a long, vine-like whip covered in thorns that lashes out at your command toward a creature in range. Make a melee spell attack against the target. If the attack hits, the creature takes 1d6 piercing damage, and if the creature is Large or smaller, you pull the creature up to 10 feet closer to you.","This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",OFFICIAL
Thunderclap,0,Evocation,1 action,Self (5-foot radius),S,,Instantaneous,false,false,"You create a burst of thunderous sound that can be heard up to 100 feet away. Each creature within range, other than you, must succeed on a Constitution saving throw or take 1d6 thunder damage.","This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",OFFICIAL
Toll the Dead,0,Necromancy,1 action,60 feet,V S,,Instantaneous,false,false,"You point at one creature you can see within range, and the sound of a dolorous bell fills the air around it for a moment. The target must succeed on a Wisdom saving throw or take 1d8 necrotic damage. If the target is missing any of its hit points, it instead takes 1d12 necrotic damage.","The spell's damage increases by one die when you reach 5th level (2d8 or 2d12), 11th level (3d8 or 3d12), and 17th level (4d8 or 4d12).",OFFICIAL
True Strike,0,Divination,1 action,30 feet,S,,1 round,true,false,"You point a finger at a target in range. Your magic grants you a brief insight into the target's defenses. On your next turn, you gain advantage on your first attack roll against the target, provided that this spell hasn't ended.",,OFFICIAL
Vicious Mockery,0,Enchantment,1 action,60 feet,V,,Instantaneous,false,false,"You unleash a string of insults laced with subtle enchantments at a creature you can see within range. If the target can hear you (though it need not understand you), it must succeed on a Wisdom saving throw or take 1d4 psychic damage and have disadvantage on the next attack roll it makes before the end of its next turn.","This spell's damage increases by 1d4 when you reach 5th level (2d4), 11th level (3d4), and 17th level (4d4).",OFFICIAL
Word of Radiance,0,Evocation,1 action,5 feet,V M,a holy symbol,Instantaneous,false,false,"You utter a divine word, and burning radiance erupts from you. Each creature of your choice that you can see within range must succeed on a Constitution saving throw or take 1d6 radiant damage.","The spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",OFFICIAL
Absorb Elements,1,Abjuration,1 reaction,Self,S,,1 round,false,false,"The spell captures some of the incoming energy, lessening its effect on you and storing it for your next melee attack. You have resistance to the triggering damage type until the start of your next turn. Also, the first time you hit with a melee attack on your next turn, the target takes an extra 1d6 damage of the triggering type.","When you cast this spell using a spell slot of 2nd level or higher, the extra damage increases by 1d6 for each slot level above 1st.",OFFICIAL
Alarm,1,Abjuration,1 minute,30 feet,V S M,a tiny bell and a piece of fine silver wire,8 hours,false,true,"You set an alarm against unwanted intrusion. Choose a door, a window, or an area within range that is no larger than a 20-foot cube. Until the spell ends, an alarm alerts you whenever a Tiny or larger creature touches or enters the warded area.",,OFFICIAL
Animal Friendship,1,Enchantment,1 action,30 feet,V S M,a morsel of food,24 hours,false,false,"This spell lets you convince a beast that you mean it no harm. Choose a beast that you can see within range. It must see and hear you. If the beast's Intelligence is 4 or higher, the spell fails.","When you cast this spell using a spell slot of 2nd level or higher, you can affect one additional beast for each slot level above 1st.",OFFICIAL
Armor of Agathys,1,Abjuration,1 action,Self,V S M,a cup of water,1 hour,false,false,"A protective magical force surrounds you, manifesting as a spectral frost that covers you and your gear. You gain 5 temporary hit points for the duration. If a creature hits you with a melee attack while you have these hit points, the creature takes 5 cold damage.","When you cast this spell using a spell slot of 2nd level or higher, both the temporary hit points and the cold damage increase by 5 for each slot level above 1st.",OFFICIAL
Arms of Hadar,1,Conjuration,1 action,Self (10-foot radius),V S,,Instantaneous,false,false,"You invoke the power of Hadar, the Dark Hunger. Tendrils of dark energy erupt from you and batter all creatures within 10 feet of you. Each creature in that area must make a Strength saving throw. On a failed save, a target takes 2d6 necrotic damage and can't take reactions until its next turn. On a successful save, the creature takes half damage, but suffers no other effect.","When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st.",OFFICIAL
Bane,1,Enchantment,1 action,30 feet,V S M,a drop of blood,1 minute,true,false,"Up to three creatures of your choice that you can see within range must make Charisma saving throws. Whenever a target that fails this saving throw makes an attack roll or a saving throw before the spell ends, the target must roll a d4 and subtract the number rolled from the attack roll or saving throw.","When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st.",OFFICIAL
Bless,1,Enchantment,1 action,30 feet,V S M,a sprinkling of holy water,1 minute,true,false,"You bless up to three creatures of your choice within range. Whenever a target makes an attack roll or a saving throw before the spell ends, the target can roll a d4 and add the number rolled to the attack roll or saving throw.","When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st.",OFFICIAL
Burning Hands,1,Evocation,1 action,Self (15-foot cone),V S,,Instantaneous,false,false,"As you hold your hands with thumbs touching and fingers spread, a thin sheet of flames shoots forth from your outstretched fingertips. Each creature in a 15-foot cone must make a Dexterity saving throw. A creature takes 3d6 fire damage on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st.",OFFICIAL
Catapult,1,Transmutation,1 action,60 feet,S,,Instantaneous,false,false,"Choose one object weighing 1 to 5 pounds within range that isn't being worn or carried. The object flies in a straight line up to 90 feet in a direction you choose before falling to the ground, stopping early if it impacts against a solid surface. If the object would strike a creature, that creature must make a Dexterity saving throw. On a failed save, the object strikes the target and stops moving. When the object strikes something, the object and what it strikes each take 3d8 bludgeoning damage.","When you cast this spell using a spell slot of 2nd level or higher, the maximum weight of objects that you can target with this spell increases by 5 pounds, and the damage increases by 1d8, for each slot level above 1st.",OFFICIAL
Cause Fear,1,Necromancy,1 action,60 feet,V,,1 minute,true,false,"You awaken the sense of mortality in one creature you can see within range. A construct or an undead is immune to this effect. The target must succeed on a Wisdom saving throw or become frightened of you until the spell ends.","When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st.",OFFICIAL
Ceremony,1,Abjuration,1 hour,Touch,V S M,25 gp worth of powdered silver,Instantaneous,false,true,"You perform a special religious ceremony that is infused with magic. When you cast the spell, choose one of the following rites, the target of which must be within 10 feet of you throughout the casting: Atonement, Bless Water, Coming of Age, Dedication, Funeral Rite, Wedding.",,OFFICIAL
Chaos Bolt,1,Evocation,1 action,120 feet,V S,,Instantaneous,false,false,"You hurl an undulating, warbling mass of chaotic energy at one creature in range. Make a ranged spell attack against the target. On a hit, the target takes 2d8 + 1d6 damage. Choose one of the d8s. The number rolled on that die determines the attack's damage type.","When you cast this spell using a spell slot of 2nd level or higher, each target takes 1d6 extra damage of the type rolled for each slot level above 1st.",OFFICIAL
Charm Person,1,Enchantment,1 action,30 feet,V S,,1 hour,false,false,"You attempt to charm a humanoid you can see within range. It must make a Wisdom saving throw, and does so with advantage if you or your companions are fighting it. If it fails the saving throw, it is charmed by you until the spell ends or until you or your companions do anything harmful to it.","When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st.",OFFICIAL
Chromatic Orb,1,Evocation,1 action,90 feet,V S M,a diamond worth at least 50 gp,Instantaneous,false,false,"You hurl a 4-inch-diameter sphere of energy at a creature that you can see within range. You choose acid, cold, fire, lightning, poison, or thunder for the type of orb you create, and then make a ranged spell attack against the target. If the attack hits, the creature takes 3d8 damage of the type you chose.","When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d8 for each slot level above 1st.",OFFICIAL
Color Spray,1,Illusion,1 action,Self (15-foot cone),V S M,a pinch of powder or sand colored red yellow and blue,1 round,false,false,"A dazzling array of flashing, colored light springs from your hand. Roll 6d10; the total is how many hit points of creatures this spell can affect. Creatures in a 15-foot cone originating from you are affected in ascending order of their current hit points.","When you cast this spell using a spell slot of 2nd level or higher, roll an additional 2d10 for each slot level above 1st.",OFFICIAL
Command,1,Enchantment,1 action,60 feet,V,,1 round,false,false,"You speak a one-word command to a creature you can see within range. The target must succeed on a Wisdom saving throw or follow the command on its next turn. The spell has no effect if the target is undead, if it doesn't understand your language, or if your command is directly harmful to it.","When you cast this spell using a spell slot of 2nd level or higher, you can affect one additional creature for each slot level above 1st.",OFFICIAL
Compelled Duel,1,Enchantment,1 bonus action,30 feet,V,,1 minute,true,false,"You attempt to compel a creature into a duel. One creature that you can see within range must make a Wisdom saving throw. On a failed save, the creature is drawn to you, compelled by your divine demand. For the duration, it has disadvantage on attack rolls against creatures other than you, and must make a Wisdom saving throw each time it attempts to move to a space that is more than 30 feet away from you.",,OFFICIAL
Comprehend Languages,1,Divination,1 action,Self,V S M,a pinch of soot and salt,1 hour,false,true,"For the duration, you understand the literal meaning of any spoken language that you hear. You also understand any written language that you see, but you must be touching the surface on which the words are written.",,OFFICIAL
Create or Destroy Water,1,Transmutation,1 action,30 feet,V S M,a drop of water if creating water or a few grains of sand if destroying it,Instantaneous,false,false,"You either create or destroy water. Create Water: You create up to 10 gallons of clean water within range in an open container. Destroy Water: You destroy up to 10 gallons of water in an open container within range.","When you cast this spell using a spell slot of 2nd level or higher, you create or destroy 10 additional gallons of water for each slot level above 1st.",OFFICIAL
Cure Wounds,1,Evocation,1 action,Touch,V S,,Instantaneous,false,false,"A creature you touch regains a number of hit points equal to 1d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs.","When you cast this spell using a spell slot of 2nd level or higher, the healing increases by 1d8 for each slot level above 1st.",OFFICIAL
Detect Evil and Good,1,Divination,1 action,Self,V S,,10 minutes,true,false,"For the duration, you know if there is an aberration, celestial, elemental, fey, fiend, or undead within 30 feet of you, as well as where the creature is located. Similarly, you know if there is a place or object within 30 feet of you that has been magically consecrated or desecrated.",,OFFICIAL
Detect Magic,1,Divination,1 action,Self,V S,,10 minutes,true,true,"For the duration, you sense the presence of magic within 30 feet of you. If you sense magic in this way, you can use your action to see a faint aura around any visible creature or object in the area that bears magic, and you learn its school of magic, if any.",,OFFICIAL
Detect Poison and Disease,1,Divination,1 action,Self,V S M,a yew leaf,10 minutes,true,true,"For the duration, you can sense the presence and location of poisons, poisonous creatures, and diseases within 30 feet of you. You also identify the kind of poison, poisonous creature, or disease in each case.",,OFFICIAL
Disguise Self,1,Illusion,1 action,Self,V S,,1 hour,false,false,"You make yourself, including your clothing, armor, weapons, and other belongings on your person, look different until the spell ends or until you use your action to dismiss it. You can seem 1 foot shorter or taller and can appear thin, fat, or in between.",,OFFICIAL
Dissonant Whispers,1,Enchantment,1 action,60 feet,V,,Instantaneous,false,false,"You whisper a discordant melody that only one creature of your choice within range can hear, wracking it with terrible pain. The target must make a Wisdom saving throw. On a failed save, it takes 3d6 psychic damage and must immediately use its reaction, if available, to move as far as its speed allows away from you.","When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st.",OFFICIAL
Divine Favor,1,Evocation,1 bonus action,Self,V S,,1 minute,true,false,"Your prayer empowers you with divine radiance. Until the spell ends, your weapon attacks deal an extra 1d4 radiant damage on a hit.",,OFFICIAL
Earth Tremor,1,Evocation,1 action,10 feet,V S,,Instantaneous,false,false,"You cause a tremor in the ground within range. Each creature other than you in that area must make a Dexterity saving throw. On a failed save, a creature takes 1d6 bludgeoning damage and is knocked prone. If the ground in that area is loose earth or stone, it becomes difficult terrain until cleared.","When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st.",OFFICIAL
Ensnaring Strike,1,Conjuration,1 bonus action,Self,V,,1 minute,true,false,"The next time you hit a creature with a weapon attack before this spell ends, a writhing mass of thorny vines appears at the point of impact, and the target must succeed on a Strength saving throw or be restrained by the magical vines until the spell ends.","If you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st.",OFFICIAL
Entangle,1,Conjuration,1 action,90 feet,V S,,1 minute,true,false,"Grasping weeds and vines sprout from the ground in a 20-foot square starting from a point within range. For the duration, these plants turn the ground in the area into difficult terrain. A creature in the area when you cast the spell must succeed on a Strength saving throw or be restrained by the entangling plants until the spell ends.",,OFFICIAL
Expeditious Retreat,1,Transmutation,1 bonus action,Self,V S,,10 minutes,true,false,"This spell allows you to move at an incredible pace. When you cast this spell, and then as a bonus action on each of your turns until the spell ends, you can take the Dash action.",,OFFICIAL
Faerie Fire,1,Evocation,1 action,60 feet,V,,1 minute,true,false,"Each object in a 20-foot cube within range is outlined in blue, green, or violet light (your choice). Any creature in the area when the spell is cast is also outlined in light if it fails a Dexterity saving throw. For the duration, objects and affected creatures shed dim light in a 10-foot radius. Any attack roll against an affected creature or object has advantage if the attacker can see it, and the affected creature or object can't benefit from being invisible.",,OFFICIAL
False Life,1,Necromancy,1 action,Self,V S M,a small amount of alcohol or distilled spirits,1 hour,false,false,"Bolstering yourself with a necromantic facsimile of life, you gain 1d4 + 4 temporary hit points for the duration.","When you cast this spell using a spell slot of 2nd level or higher, you gain 5 additional temporary hit points for each slot level above 1st.",OFFICIAL
Feather Fall,1,Transmutation,1 reaction,60 feet,V M,a small feather or a piece of down,1 minute,false,false,"Choose up to five falling creatures within range. A falling creature's rate of descent slows to 60 feet per round until the spell ends. If the creature lands before the spell ends, it takes no falling damage and can land on its feet, and the spell ends for that creature.",,OFFICIAL
Find Familiar,1,Conjuration,1 hour,10 feet,V S M,10 gp worth of charcoal incense and herbs consumed in a brass brazier,Instantaneous,false,true,"You gain the service of a familiar, a spirit that takes an animal form you choose: bat, cat, crab, frog, hawk, lizard, octopus, owl, poisonous snake, fish, rat, raven, sea horse, spider, or weasel.",,OFFICIAL
